TROUGH SPRINGS,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
SAND CANYON,9/12/1916
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
TUNNEL,9/14/1916
 ,<Null>
1916-SUPERVISOR#35,6/24/1916
 ,<Null>
 ,<Null>
CHILAO,6/26/1916
 ,<Null>
 ,<Null>
SAND CANYON,<Null>
TUNNEL,9/14/1916
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
DUARTE,7/31/1916
MARINE ROCK,8/6/1917
BOISE CREEK,8/8/1917
RED CAP,7/17/1917
N/A,9/29/1917
SERPENTINE CAMP,9/3/1917
CAMP CREEK #1,8/6/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
PACKSADDLE,8/27/1917
 ,8/1/1917
 ,8/1/1917
 ,8/18/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
HASTINGS RANCH,9/6/1917
 ,<Null>
 ,<Null>
PALMER CYN,9/28/1917
THATCHER,6/1/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
BADGER SP.,6/13/1917
N/A,8/24/1917
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
